region,Temp_C,Rain (mm),Humid,Price_F,month,dayofweek,heat_index
0,34.4,384.0,69.3,304.75,1,3,2383.9199999999996
1,33.0,21.7,63.5,127.67,1,3,2095.5
2,35.7,121.8,73.5,131.39,1,3,2623.9500000000003
4,35.4,3.2,93.1,299.36,1,3,3295.74
5,22.6,198.9,85.1,419.56,1,3,1923.26
6,37.0,16.3,76.3,265.13,1,3,2823.1
19,26.8,190.5,83.5,262.54,1,3,2237.8
8,26.0,115.5,60.7,270.07,1,3,1578.2
9,30.7,71.2,75.3,394.74,1,3,2311.71
10,37.2,164.4,84.6,376.06,1,3,3147.12
11,22.6,41.9,93.8,288.01,1,3,2119.88
12,20.4,168.1,87.3,145.29,1,3,1780.9199999999998
13,29.5,398.9,73.8,395.76,1,3,2086.13
16,31.0,171.8,85.4,349.05,1,3,2647.4
18,28.2,86.3,59.4,207.75,1,3,1675.08
21,29.4,327.4,64.4,397.77,1,3,2086.13
22,23.4,318.0,58.9,432.28,1,3,1378.26
23,26.8,197.1,51.9,360.9,1,3,1390.92
24,34.1,292.7,94.5,451.46,1,3,3222.4500000000003
0,23.3,146.8,56.5,164.78,1,2,1316.45
1,32.7,101.6,85.2,83.22,1,2,2786.0400000000004
2,20.3,291.1,51.0,486.02,1,2,1035.3
3,27.1,107.2,91.8,338.88,1,2,2487.78
6,30.5,44.3,59.7,131.9,1,2,1820.8500000000001
8,33.8,225.1,77.7,412.91,1,2,2626.2599999999998
9,37.5,168.5,60.1,171.3,1,2,2253.75
10,31.1,52.3,79.5,132.01,1,2,2472.4500000000003
12,21.5,357.5,73.8,204.78,1,2,2086.13
13,34.6,173.0,73.8,423.41,1,2,2086.13
14,37.6,269.8,57.4,276.13,1,2,2158.2400000000002
17,34.8,145.8,80.7,255.06,1,2,2808.3599999999997
18,23.8,19.6,56.1,120.67,1,2,1335.18
20,21.5,323.9,76.7,161.53,1,2,1649.05
21,23.7,147.2,65.7,405.22,1,2,1557.09
23,26.8,335.5,60.1,287.76,1,2,1610.68
